Date,Open,High,Low,Close,Adj Close,Volume
2022-10-12,3722.87,3784.31,3661.53,3784.31,3784.31,108089319
2022-10-13,3756.42,3783.6,3749.64,3752.67,3752.67,99018915
2022-10-14,3783.32,3863.23,3780.84,3842.47,3842.47,116242293
2022-10-17,3822.24,3849.62,3809.12,3846.41,3846.41,104192019
2022-10-18,3865.83,3870.22,3831.17,3838.27,3838.27,88346907
2022-10-19,3827.47,3840.49,3776.53,3776.53,3776.53,81574844
2022-10-20,3746.58,3804.25,3726.79,3754.93,3754.93,90290895
2022-10-21,3753.89,3768.69,3724.69,3742.89,3742.89,98750038
2022-10-24,3727.92,3762.16,3619.99,3633.37,3633.37,130056864
2022-10-25,3621.94,3670.73,3594.7,3627.45,3627.45,110953882
2022-10-26,3633.31,3700.88,3633.31,3656.9,3656.9,121301548
2022-10-27,3667.66,3685.08,3631.06,3631.14,3631.14,117998675
2022-10-28,3605.16,3618.86,3533.5,3541.33,3541.33,118772162
2022-10-31,3504.51,3553.39,3495.95,3508.7,3508.7,138465655
2022-11-01,3519.82,3634.17,3517.62,3634.17,3634.17,149286698
2022-11-02,3620.37,3703.47,3610.8,3677.81,3677.81,141592919
2022-11-03,3645.06,3670.16,3628.5,3647.9,3647.9,110566035
2022-11-04,3646.77,3782.88,3646.77,3767.17,3767.17,149734949
2022-11-07,3754.52,3792.79,3746.37,3775.3,3775.3,129826371
2022-11-08,3773.66,3779.12,3723.34,3749.33,3749.33,99016451
2022-11-09,3750.78,3760.41,3711.27,3714.27,3714.27,89434525
2022-11-10,3685.83,3701.53,3665.06,3685.69,3685.69,103509302
2022-11-11,3787.76,3828.9,3747.09,3788.44,3788.44,189685586
2022-11-14,3818.14,3848.41,3781.78,3794.02,3794.02,169665048
2022-11-15,3788.93,3871.64,3775.5,3865.97,3865.97,151515650
2022-11-16,3860.81,3877.68,3829.31,3834.39,3834.39,120610964
2022-11-17,3821.27,3821.74,3776.57,3818.66,3818.66,105940632
2022-11-18,3823.82,3840.3,3801.57,3801.57,3801.57,115078777
2022-11-21,3769.63,3769.87,3734.0,3769.13,3769.13,95866966
2022-11-22,3766.08,3809.86,3751.04,3769.57,3769.57,144486334
2022-11-23,3760.22,3791.18,3753.21,3773.53,3773.53,144527911
2022-11-24,3791.54,3804.9,3751.38,3756.81,3756.81,101073447
2022-11-25,3751.28,3790.57,3743.41,3775.78,3775.78,142929711
2022-11-28,3701.9,3736.08,3672.13,3733.24,3733.24,127825748
2022-11-29,3766.57,3854.77,3766.57,3848.42,3848.42,178701392
2022-11-30,3836.56,3867.66,3833.83,3853.04,3853.04,157511400
2022-12-01,3921.3,3944.56,3893.87,3894.77,3894.77,169964585
2022-12-02,3886.4,3898.11,3865.88,3870.95,3870.95,116786350
2022-12-05,3907.64,3947.48,3900.67,3946.88,3946.88,201747221
2022-12-06,3929.01,3988.9,3923.0,3968.2,3968.2,155108323
2022-12-07,3956.67,3999.59,3944.18,3958.44,3958.44,143001356
2022-12-08,3953.2,3971.49,3941.3,3959.18,3959.18,115199986
2022-12-09,3961.99,4003.32,3944.44,3998.24,3998.24,153774954
2022-12-12,3976.17,3983.43,3950.32,3953.44,3953.44,125935368
2022-12-13,3953.55,3964.4,3939.98,3945.68,3945.68,100994100
2022-12-14,3952.79,3972.74,3935.77,3954.89,3954.89,98528006
2022-12-15,3954.67,3963.5,3926.5,3951.99,3951.99,88864725
2022-12-16,3931.23,3960.47,3929.49,3954.23,3954.23,93178567
2022-12-19,3952.77,3966.57,3878.44,3893.22,3893.22,106919075
2022-12-20,3881.23,3881.27,3811.48,3829.02,3829.02,83096822
2022-12-21,3839.0,3853.73,3821.4,3830.54,3830.54,64839215
2022-12-22,3859.2,3882.13,3821.34,3836.03,3836.03,83705173
2022-12-23,3811.62,3848.34,3805.95,3828.22,3828.22,65278148
2022-12-26,3830.57,3856.81,3827.52,3843.49,3843.49,73005712
2022-12-27,3860.91,3891.85,3856.58,3887.85,3887.85,77515350
2022-12-28,3874.91,3884.72,3854.94,3871.26,3871.26,84424656
2022-12-29,3854.24,3868.29,3838.48,3856.7,3856.7,79394815
2022-12-30,3873.94,3887.55,3868.76,3871.63,3871.63,78773272
2023-01-03,3864.84,3893.99,3831.25,3887.9,3887.9,115051875
2023-01-04,3886.25,3905.9,3873.65,3892.95,3892.95,110660743
2023-01-05,3913.49,3974.88,3912.26,3968.58,3968.58,116502395
2023-01-06,3969.55,4000.41,3966.47,3980.89,3980.89,110953038
2023-01-09,3998.53,4023.09,3990.71,4013.12,4013.12,117054425
2023-01-10,4014.71,4030.46,4002.23,4017.47,4017.47,101751141
2023-01-11,4019.88,4043.4,4008.02,4010.03,4010.03,99997889
2023-01-12,4021.75,4030.29,4003.51,4017.87,4017.87,90552627
2023-01-13,4032.29,4074.38,4027.89,4074.38,4074.38,95871896
2023-01-16,4077.88,4177.1,4076.64,4137.96,4137.96,151395455
2023-01-17,4138.84,4148.58,4118.16,4137.24,4137.24,95479040
2023-01-18,4140.1,4151.46,4125.77,4130.31,4130.31,84200645
2023-01-19,4125.58,4156.01,4105.98,4156.01,4156.01,94608398
2023-01-20,4166.84,4189.83,4161.67,4181.53,4181.53,123553809
